ALL_STAR_GAME_YEAR,PLAYER,TEAM,FIRST_NAME,LAST_NAME
2009,Lebron James,Cleveland,,
2009,Kevin Garnett,Boston,,
2009,Dwight Howard,Orlando,,
2009,Allen Iverson,Detroit,,
2009,Dwyane Wade,Miami,,
2009,Joe Johnson,Atlanta,,
2009,Devin Harris,New Jersey,,
2009,Paul Pierce,Boston,,
2009,Ray Allen,Boston,,
2009,Rashard Lewis,Orlando,,
2009,Danny Granger,Indiana,,
2009,Mo Williams,Cleveland,,
2009,Chris Bosh,Toronto,,
2009,Jameer Nelson,Orlando,,
2009,Amare Stoudemire,Phoenix,,
2009,Tim Duncan,San Antonio,,
2009,Yao Ming,Houston,,
2009,Kobe Bryant,LA Lakers,,
2009,Chris Paul,New Orleans,,
2009,Pau Gasol,LA Lakers,,
2009,Shaquille O’Neal,Phoenix,,
2009,Dirk Nowitzki,Dallas,,
2009,Brandon Roy,Portland,,
2009,Chauncey Billups,Denver,,
2009,Tony Parker,San Antonio,,
2009,David West,New Orleans,,
2008,Jason Kidd,New Jersey,,
2008,Dwyane Wade,Miami,,
2008,Chris Bosh,Toronto,,
2008,Lebron James,Cleveland,,
2008,Dwight Howard,Orlando,,
2008,Ray Allen,Boston,,
2008,Chauncey Billups,Detroit,,
2008,Richard Hamilton,Detroit,,
2008,Rasheed Wallace,Detroit,,
2008,Joe Johnson,Atlanta,,
2008,Paul Pierce,Boston,,
2008,Antawn Jamison,Washington,,
2008,Caron Butler,Washington,,
2008,Kevin Garnett,Boston,,
2008,Allen Iverson,Denver,,
2008,Kobe Bryant,Lakers,,
2008,Tim Duncan,San Antonio,,
2008,Carmelo Anthony,Denver,,
2008,Yao Ming,Houston,,
2008,Brandon Roy,Portland,,
2008,Chris Paul,New Orleans,,
2008,Dirk Nowitzki,Dallas,,
2008,Amare Stoudemire,Phoenix,,
2008,Steve Nash,Phoenix,,
2008,Carlos Boozer,Utah,,
2008,David West,New Orleans,,
2007,Gilbert Arenas,Washington,,
2007,Dwyane Wade,Miami,,
2007,Chris Bosh,Toronto,,
2007,Lebron James,Cleveland,,
2007,Shaquille O’Neal,Miami,,
2007,Jermaine O’Neal,Indiana,,
2007,Dwight Howard,Orlando,,
2007,Joe Johnson,Atlanta,,
2007,Chauncey Billups,Detroit,,
2007,Vince Carter,New Jersey,,
2007,Caron Butler,Washington,,
2007,Richard Hamilton,Detroit,,
2007,Jason Kidd,New Jersey,,
2007,Kobe Bryant,Lakers,,
2007,Tracy McGrady,Houston,,
2007,Kevin Garnett,Minnesota,,
2007,Dirk Nowitzki,Dallas,,
2007,Tim Duncan,San Antonio,,
2007,Carmelo Anthony,Denver,,
2007,Tony Parker,San Antonio,,
2007,Shawn Marion,Phoenix,,
2007,Ray Allen,Seattle,,
2007,Amare Stoudemire,Phoenix,,
2007,Josh Howard,Dallas,,
2007,Mehmet Okur,Utah,,
2007,Yao Ming,Houston,,
2007,Carlos Boozer,Utah,,
2007,Allen Iverson,Denver,,
2007,Steve Nash,Phoenix,,
2006,Allen Iverson,Philadelphia,,
2006,Dwyane Wade,Miami,,
2006,Lebron James,Cleveland,,
2006,Vince Carter,New Jersey,,
2006,Shaquille O’Neal,Miami,,
2006,Ben Wallace,Detroit,,
2006,Rasheed Wallace,Detroit,,
2006,Chris Bosh,Toronto,,
2006,Paul Pierce,Boston,,
2006,Chauncey Billups,Detroit,,
2006,Richard Hamilton,Detroit,,
2006,Gilbert Arenas,Washington,,
2006,Jermaine O’Neal,Indiana,,
2006,Kobe Bryant,Lakers,,
2006,Steve Nash,Phoenix,,
2006,Tim Duncan,San Antonio,,
2006,Tracy McGrady,Houston,,
2006,Yao Ming,Houston,,
2006,Tony Parker,San Antonio,,
2006,Kevin Garnett,Minnesota,,
2006,Ray Allen,Seattle,,
2006,Dirk Nowitzki,Dallas,,
2006,Shawn Marion,Phoenix,,
2006,Elton Brand,Clippers,,
2006,Pau Gasol,Memphis,,
2005,Allen Iverson,Philadelphia,,
2005,Lebron James,Cleveland,,
2005,Vince Carter,New Jersey,,
2005,Grant Hill,Orlando,,
2005,Shaquille O’Neal,Miami,,
2005,Dwyane Wade,Miami,,
2005,Jermaine O’Neal,Indiana,,
2005,Zydrunas Ilgauskas,Cleveland,,
2005,Ben Wallace,Detroit,,
2005,Gilbert Arenas,Washington,,
2005,Paul Pierce,Boston,,
2005,Antawn Jamison,Washington,,
2005,Kobe Bryant,Lakers,,
2005,Tracy McGrady,Houston,,
2005,Kevin Garnett,Minnesota,,
2005,Tim Duncan,San Antonio,,
2005,Yao Ming,Houston,,
2005,Ray Allen,Seattle,,
2005,Manu Ginobili,San Antonio,,
2005,Dirk Nowitzki,Dallas,,
2005,Amare Stoudemire,Phoenix,,
2005,Steve Nash,Phoenix,,
2005,Shawn Marion,Phoenix,,
2005,Rashard Lewis,Seattle,,
2004,Vince Carter,Toronto,,
2004,Jermaine O’Neal,Indiana,,
2004,Ben Wallace,Detroit,,
2004,Allen Iverson,Philadelphia,,
2004,Tracy McGrady,Orlando,,
2004,Ron Artest,Indiana,,
2004,Jamaal Magloire,New Orleans,,
2004,Jason Kidd,New Jersey,,
2004,Kenyon Martin,New Jersey,,
2004,Paul Pierce,Boston,,
2004,Baron Davis,New Orleans,,
2004,Michael Redd,Milwaukee,,
2004,Tim Duncan,San Antonio,,
2004,Kevin Garnett,Minnesota,,
2004,Yao Ming,Houston,,
2004,Kobe Bryant,Lakers,,
2004,Steve Francis,Houston,,
2004,Ray Allen,Seattle,,
2004,Shaquille O’Neal,Lakers,,
2004,Peja Stojakovic,Sacramento,,
2004,Sam Cassell,Minnesota,,
